Time,Car,Private Car Pick Up,Taxi,Bus,Cycle,Motorcycle,On Foot,Total
05:30,1,0,0,0,1,0,2,4
05:45,1,0,0,2,0,0,1,4
1/2 Hr,2,0,0,2,1,0,3,8
06:00,0,0,0,0,0,0,1,1
06:15,3,0,0,1,1,0,3,8
06:30,4,0,2,0,0,0,3,9
06:45,5,1,0,0,0,2,4,12
1 Hr,12,1,2,1,1,2,11,30
07:00,9,3,2,0,1,0,14,29
07:15,3,0,3,0,2,0,3,11
07:30,20,0,4,0,1,0,34,59
07:45,15,0,2,1,0,0,8,26
1 Hr,47,3,11,1,4,0,59,125
08:00,2,1,8,4,2,0,27,44
08:15,66,0,16,6,3,3,87,181
08:30,24,0,10,0,3,1,60,98
08:45,17,2,13,0,1,1,17,51
1 Hr,109,3,47,10,9,5,191,374
09:00,4,1,7,8,3,1,23,47
09:15,10,0,9,8,2,0,23,52
09:30,3,1,13,0,0,0,10,27
09:45,5,0,21,1,0,1,23,51
1 Hr,22,2,50,17,5,2,79,177
10:00,5,0,9,0,0,0,11,25
10:15,9,1,10,9,1,0,37,67
1 Hr,14,1,19,9,1,0,48,92
Total,206,10,129,40,21,9,391,806
